,"(mm) Precipitation (PRISM MONTHLY), Idaho ,Aug 1895 to Dec 1895","(deg C) Mean Temperature (PRISM MONTHLY), Idaho ,Aug 1895 to Dec 1895"
"2021-08-01",35.2922,17.9048
"2021-09-01",21.0697,13.9969
"2021-10-01",78.1071,7.3026
"2021-11-01",58.7098,2.5422
"2021-12-01",106.295,-2.8637
"2022-01-01",59.9003,-4.7463
"2022-02-01",20.6072,-4.4971
"2022-03-01",43.8934,2.0405
"2022-04-01",61.3043,2.4033
"2022-05-01",89.5949,7.0631
"2022-06-01",55.5972,13.4411
"2022-07-01",6.5872,20.6518
"2022-08-01",17.3323,20.8795
"2022-09-01",25.2436,16.276
"2022-10-01",32.0242,8.8011
"2022-11-01",74.7186,-3.5674
"2022-12-01",104.3891,-5.7426
"2023-01-01",50.5564,-4.7886
"2023-02-01",41.3214,-5.1928
"2023-03-01",93.5171,-3.0157
"2023-04-01",51.6203,2.8433
"2023-05-01",53.5518,12.1752
"2023-06-01",57.7421,13.6187
"2023-07-01",4.4686,20.2277
"2023-08-01",54.623,19.0837
"2023-09-01",32.9406,13.7988
"2023-10-01",41.9104,7.7671
"2023-11-01",53.215,1.1587
"2023-12-01",60.3818,-1.5823
"2024-01-01",72.0189,-3.981
"2024-02-01",77.5541,-0.9765
"2024-03-01",77.1182,0.7231
"2024-04-01",48.1756,5.3829
"2024-05-01",45.6146,7.6021
"2024-06-01",31.4827,14.9778
"2024-07-01",11.8719,20.6456
"2024-08-01",15.3247,18.6325
"2024-09-01",29.731,15.5925
"2024-10-01",23.7749,9.1806
"2024-11-01",81.4401,-0.3141
"2024-12-01",83.5298,-1.1248