,"(mm) Precipitation (PRISM MONTHLY), Oregon ,Aug 1895 to Dec 1895","(deg C) Mean Temperature (PRISM MONTHLY), Oregon ,Aug 1895 to Dec 1895"
"2021-08-01",6.8024,19.1729
"2021-09-01",49.3585,15.1285
"2021-10-01",86.19,8.9662
"2021-11-01",109.5756,5.4286
"2021-12-01",152.9122,0.7365
"2022-01-01",88.6687,1.2659
"2022-02-01",32.677,1.6912
"2022-03-01",65.4398,5.4135
"2022-04-01",106.5999,4.3976
"2022-05-01",109.1248,8.1408
"2022-06-01",69.6136,14.1388
"2022-07-01",5.9597,20.5774
"2022-08-01",7.7486,21.4975
"2022-09-01",13.9127,17.1246
"2022-10-01",35.9568,12.1527
"2022-11-01",107.2938,0.4572
"2022-12-01",156.9528,-1.3112
"2023-01-01",79.0391,0.0709
"2023-02-01",59.8571,-0.0291
"2023-03-01",127.8705,0.3928
"2023-04-01",97.1112,5.5502
"2023-05-01",43.126,12.8335
"2023-06-01",26.4347,14.7167
"2023-07-01",1.2446,20.4408
"2023-08-01",22.6249,20.0136
"2023-09-01",40.1324,14.4926
"2023-10-01",57.6214,9.8772
"2023-11-01",87.4921,4.2785
"2023-12-01",151.4094,2.8401
"2024-01-01",191.5178,0.9916
"2024-02-01",104.0602,2.7086
"2024-03-01",109.2189,3.847
"2024-04-01",53.1291,6.7694
"2024-05-01",60.7712,9.421
"2024-06-01",26.0117,15.3189
"2024-07-01",3.7319,21.2824
"2024-08-01",17.0025,18.5766
"2024-09-01",19.6542,16.5442
"2024-10-01",49.2045,10.3271
"2024-11-01",175.4503,3.0211
"2024-12-01",181.4365,2.3383